algorithm,failure_time_mode,grid_size,runs,delta_t_targets_mean,delta_t_targets_ci95,delta_t_coverage_mean,delta_t_coverage_ci95,delta_mean_found_mean,delta_mean_found_ci95,delta_target_found_fraction_mean,delta_target_found_fraction_ci95,delta_coverage_fraction_mean,delta_coverage_fraction_ci95
stigmergy_random_walk,early,100,100,846.6,495.7890054572437,1336.35,339.2634677674208,-0.001950499201572934,0.007747905100659941,-0.00033333333333333327,0.0011354102577584544,-0.0009939999999999916,0.0007692292599528929
stigmergy_random_walk,early,150,100,1367.47,619.7296247827428,1404.36,392.8240785109104,-0.008526116558071839,0.005452881471039509,-0.0013333333333333342,0.00120996453103176,-0.0012088888888888926,0.0008933408551983546
stigmergy_random_walk,early,200,100,2290.22,896.7347074934137,830.32,367.3596201674557,-0.01643907946595562,0.004618180462182725,-0.0005000000000000015,0.0008630307049898836,-0.000940249999999998,0.0005499653829133523
stigmergy_random_walk,early,250,100,3295.16,1142.655847472661,690.55,255.93285067585737,-0.017216434901550254,0.0039674849623648175,-0.0010666666666666645,0.000960020351449075,-0.0007495999999999991,0.0005527840294168622
stigmergy_random_walk,early,300,100,3249.65,1468.762578845213,776.46,308.82790354822913,-0.016428174473550092,0.004048441405756838,-0.00011111111111111071,0.0007888610987659826,-0.000784555555555555,0.0002734932584362485
stigmergy_random_walk,early,350,100,4304.22,1531.905848712413,499.74,275.4199666423096,-0.020161270943805275,0.0030532310947650517,-0.0007619047619047603,0.000735266506116546,-0.0010979591836734637,0.00045606844072601727
stigmergy_random_walk,early,400,100,6214.6,2027.9923924046734,275.48,175.45267353384887,-0.023309145956597208,0.0036926879754204758,-0.0009166666666666668,0.0013515746729355221,-0.0012492500000000006,0.0006367637434446579
stigmergy_random_walk,early,450,100,7465.19,1753.7851108581401,157.4,116.9180644894517,-0.021971250507747394,0.002844486137466257,-0.0012592592592592612,0.0006861184168485277,-0.001124987654321007,0.00034920600268004056
stigmergy_random_walk,early,500,100,6693.96,2230.246756802596,42.79,71.86217037780366,-0.022456695918225363,0.003077863278692772,-0.0013333333333333342,0.0009469976184435853,-0.0011380399999999912,0.00040164962495921113
stigmergy_random_walk,late,50,100,122.3,202.40809314477784,571.46,243.7752265544452,0.015502341896249008,0.009873469770815387,0.001333333333333333,0.0032060503968318727,-8.400000000000185e-05,0.00030441687907648604
stigmergy_random_walk,late,100,100,649.78,440.91118398871316,933.85,360.2380700398844,0.003739743061333036,0.005899722102612726,-0.00033333333333333327,0.0011354102577584544,-0.0002499999999999958,0.0001565895051761544
stigmergy_random_walk,late,150,100,1278.28,636.0085717224492,1354.82,397.2671866817367,0.001922786993114829,0.00453221937396777,-0.00044444444444444506,0.0006128497255713961,-0.0008635555555555618,0.00039841726685310524
stigmergy_random_walk,late,200,100,1247.64,865.3052158512628,905.89,343.5379190881856,-0.004040701698670618,0.003709740409434776,-0.00016666666666666718,0.0007333942429556238,-0.0009177499999999872,0.00041998892777493006
stigmergy_random_walk,late,250,100,2979.92,1350.272657531728,687.68,242.04279258741994,-0.007713741960867323,0.003222847760753964,-0.0018666666666666643,0.0014395513953928667,-0.0006819199999999981,0.0007448360646273199
stigmergy_random_walk,late,300,100,3381.53,1574.7251299319182,732.35,317.7548288731456,-0.007032348856767057,0.00329136965177775,-0.0007777777777777784,0.0013930833006066895,-0.0009938888888888864,0.0009230470453320589
