experiment,algorithm,runs,t_targets_horizon_fraction_mean,t_targets_horizon_fraction_ci95,t_coverage_horizon_fraction_mean,t_coverage_horizon_fraction_ci95,mean_found_mean,mean_found_ci95,target_found_fraction_mean,target_found_fraction_ci95,percent_coverage_mean,percent_coverage_ci95
E1,centralized,100,0.06508527460317462,0.0009859996910960012,0.07223999365079366,0.0007697034644062764,0.6056863458351005,0.010470336504522185,1.0,0.0,100.0,0.0
E1,stigmergy_random_walk,1000,0.5078965237301588,0.01171447228892,0.917006856984127,0.009055425473421386,0.8901275338358449,0.001783828215505568,0.9994662433862433,0.0003271283950967352,99.97371852571176,0.005843613754324255
E1,stigmergy_search,1000,0.09824896865079365,0.0015014576526047852,0.11729102690476191,0.0015472879189059954,0.7363553622062465,0.003370248920364513,1.0,0.0,100.0,0.0
E2,centralized,400,0.07455677261904763,0.0013537792687774073,0.0851155128968254,0.001472482229503279,0.6461343318533309,0.006457050726549226,1.0,0.0,100.0,0.0
E2,stigmergy_random_walk,4000,0.620155283154762,0.006622548406604496,0.9647665158333334,0.003025876744544018,0.8819541079716035,0.0007839920734236148,0.9988224074074075,0.00015893597929410728,99.88693377634951,0.008149117360824855
E2,stigmergy_search,4000,0.11059543791666666,0.001075549504997866,0.14016529763888888,0.0012862113033215127,0.7634856580177691,0.0019449829058602942,1.0,0.0,100.0,0.0
