grid_size,n_robots,n_targets,n_failures,num_experiments,experiment_id,n_targets_found,t_targets_e2,t_coverage_e2,percent_coverage,mean_found_e2,algorithm,algorithm_label,experiment,simulation_id,failure_time_mode,horizon,target_found_fraction_e2,coverage_fraction_e2,t_targets_horizon_fraction_e2,t_coverage_horizon_fraction_e2,num_simulations,t_targets_e1,t_coverage_e1,t_targets_horizon_fraction_e1,t_coverage_horizon_fraction_e1,target_found_fraction_e1,coverage_fraction_e1,mean_found_e1,delta_t_targets,pct_change_t_targets,delta_t_coverage,pct_change_t_coverage,delta_t_targets_horizon_fraction,pct_change_t_targets_horizon_fraction,delta_t_coverage_horizon_fraction,pct_change_t_coverage_horizon_fraction,delta_target_found_fraction,delta_coverage_fraction,delta_mean_found
50,5,15,1,10,7,15,351,601,100.0,0.8103161397670564,stigmergy_search,Stigmergy Efficient Search,E2,2,early,5000.0,1.0,1.0,0.0702,0.1202,10.0,472,505,0.0944,0.101,1.0,1.0,0.7754455445544571,-121,-25.635593220338983,96,19.00990099009901,-0.0242,-25.635593220338983,0.019199999999999995,19.009900990099005,0.0,0.0,0.034870595212599276
50,5,15,1,10,7,15,477,599,100.0,0.7965498052309432,stigmergy_search,Stigmergy Efficient Search,E2,3,early,5000.0,1.0,1.0,0.0954,0.1198,10.0,695,709,0.139,0.1418,1.0,1.0,0.7958627174424081,-218,-31.366906474820144,-110,-15.514809590973202,-0.043600000000000014,-31.36690647482015,-0.022000000000000006,-15.514809590973206,0.0,0.0,0.0006870877885351012
50,5,15,1,10,7,15,353,387,100.0,0.6251507321274765,stigmergy_search,Stigmergy Efficient Search,E2,4,early,5000.0,1.0,1.0,0.0706,0.0774,10.0,285,561,0.057,0.1122,1.0,1.0,0.7575757575757568,68,23.859649122807017,-174,-31.016042780748666,0.013599999999999994,23.859649122807006,-0.0348,-31.016042780748666,0.0,0.0,-0.13242502544828028
50,5,15,1,10,7,15,398,536,100.0,0.6824626865671649,stigmergy_search,Stigmergy Efficient Search,E2,5,early,5000.0,1.0,1.0,0.0796,0.1072,10.0,398,401,0.0796,0.0802,1.0,1.0,0.5672485453034078,0,0.0,135,33.66583541147132,0.0,0.0,0.02700000000000001,33.665835411471335,0.0,0.0,0.11521414126375706
50,5,15,1,10,7,15,302,634,100.0,0.8279705573080972,stigmergy_search,Stigmergy Efficient Search,E2,6,early,5000.0,1.0,1.0,0.0604,0.1268,10.0,322,348,0.0644,0.0696,1.0,1.0,0.6750957854406142,-20,-6.211180124223603,286,82.18390804597702,-0.003999999999999997,-6.211180124223597,0.0572,82.18390804597702,0.0,0.0,0.152874771867483
50,5,15,1,10,7,15,332,417,100.0,0.7389288569144692,stigmergy_search,Stigmergy Efficient Search,E2,7,early,5000.0,1.0,1.0,0.0664,0.0834,10.0,562,567,0.1124,0.1134,1.0,1.0,0.7965902410346876,-230,-40.92526690391459,-150,-26.455026455026452,-0.046,-40.92526690391459,-0.03,-26.455026455026452,0.0,0.0,-0.05766138412021837
50,5,15,1,10,7,15,268,554,100.0,0.7829121540312877,stigmergy_search,Stigmergy Efficient Search,E2,8,early,5000.0,1.0,1.0,0.0536,0.1108,10.0,247,593,0.0494,0.1186,1.0,1.0,0.799662731871838,21,8.502024291497975,-39,-6.57672849915683,0.004200000000000002,8.502024291497982,-0.007800000000000001,-6.576728499156831,0.0,0.0,-0.01675057784055034
50,5,15,1,10,7,15,311,348,100.0,0.6478927203065141,stigmergy_search,Stigmergy Efficient Search,E2,9,early,5000.0,1.0,1.0,0.0622,0.0696,10.0,262,287,0.0524,0.0574,1.0,1.0,0.5858304297328689,49,18.702290076335878,61,21.254355400696863,0.009799999999999996,18.70229007633587,0.012199999999999996,21.254355400696856,0.0,0.0,0.06206229057364521
50,5,15,1,10,7,15,565,591,100.0,0.779357021996618,stigmergy_search,Stigmergy Efficient Search,E2,10,early,5000.0,1.0,1.0,0.113,0.1182,10.0,484,494,0.0968,0.0988,1.0,1.0,0.7462887989203799,81,16.735537190082646,97,19.63562753036437,0.016200000000000006,16.735537190082653,0.0194,19.635627530364374,0.0,0.0,0.033068223076238135
50,5,15,1,10,8,15,333,665,100.0,0.8259649122807026,stigmergy_search,Stigmergy Efficient Search,E2,1,early,5000.0,1.0,1.0,0.0666,0.133,10.0,341,533,0.0682,0.1066,1.0,1.0,0.7868667917448413,-8,-2.346041055718475,132,24.765478424015008,-0.0015999999999999903,-2.346041055718461,0.026400000000000007,24.765478424015015,0.0,0.0,0.03909812053586126
