experiment,algorithm,grid_size,runs,t_targets_mean,t_targets_ci95,t_coverage_mean,t_coverage_ci95,mean_found_mean,mean_found_ci95,target_found_fraction_mean,target_found_fraction_ci95,percent_coverage_mean,percent_coverage_ci95,t_targets_horizon_fraction_mean,t_targets_horizon_fraction_ci95,t_coverage_horizon_fraction_mean,t_coverage_horizon_fraction_ci95
E1,stigmergy_random_walk,250,100,13299.86,775.5420150222254,24276.39,248.120340797324,0.8964187106783433,0.0032816628754118384,0.9997333333333333,0.0003677098353428364,99.95382399999998,0.03288372895707575,0.5319944000000001,0.03102168060088902,0.9710556000000001,0.009924813631892961
E1,stigmergy_random_walk,300,100,16778.69,1149.0920507542678,29215.71,307.7647405538461,0.8975053572295408,0.003198181517618408,0.9992222222222223,0.0005584527821704823,99.96958888888888,0.015174698294355986,0.5592896666666667,0.03830306835847559,0.973857,0.010258824685128199
E1,stigmergy_random_walk,350,100,19806.68,1206.7487455518449,34500.26,275.4199666423096,0.8998928110799429,0.002667110919576714,0.9997142857142856,0.000320033668262494,99.96837551020408,0.011557908894786995,0.5659051428571429,0.03447853558719556,0.9857217142857144,0.007869141904065987
E1,stigmergy_random_walk,400,100,23134.25,1410.5105658516964,39724.52,175.45267353384884,0.8967166022064383,0.0026870955038229317,0.9990000000000001,0.0009650372892779679,99.95768749999999,0.03220459202956016,0.5783562500000001,0.035262764146292404,0.993113,0.004386316838346222
E1,stigmergy_random_walk,450,100,25582.82,1247.4577514977248,44842.6,116.9180644894517,0.8981179533884933,0.0022550927623722606,0.9999259259259259,0.0001451851851851854,99.97686913580246,0.011340804305255288,0.5685071111111112,0.02772128336661611,0.9965022222222223,0.002598179210876705
E1,stigmergy_random_walk,500,100,31159.1,1530.386185102151,49957.21,71.8621703778037,0.8968279799179997,0.0021787370975814187,0.9997333333333333,0.0002573432771407933,99.96516799999998,0.012190076008596904,0.6231819999999999,0.030607723702043024,0.9991442,0.001437243407556073
E1,stigmergy_search,50,100,362.14,17.028123760248615,478.82,18.752526618764595,0.6893177453782465,0.01637804081470062,1.0,0.0,100.0,0.0,0.07242799999999999,0.003405624752049723,0.09576400000000002,0.003750505323752919
E1,stigmergy_search,100,100,831.62,37.04895733384205,1043.88,38.26701696927615,0.7218438755561478,0.010671120875539942,1.0,0.0,100.0,0.0,0.083162,0.0037048957333842046,0.10438800000000002,0.0038267016969276146
E1,stigmergy_search,150,100,1368.4,53.66397004028726,1665.91,64.25692592871593,0.727127359401628,0.010489059645641619,1.0,0.0,100.0,0.0,0.09122666666666668,0.0035775980026858164,0.11106066666666667,0.004283795061914395
E1,stigmergy_search,200,100,1870.66,82.75827407570982,2307.26,84.86729641437421,0.7365022630229211,0.00949087838582206,1.0,0.0,100.0,0.0,0.093533,0.004137913703785491,0.11536300000000001,0.00424336482071871
E1,stigmergy_search,250,100,2544.88,112.20559042775908,2965.16,109.21242098703283,0.7355907411061099,0.009375555691044542,1.0,0.0,100.0,0.0,0.10179519999999996,0.004488223617110363,0.1186064,0.004368496839481313
E1,stigmergy_search,300,100,3021.46,108.18401746133831,3547.07,126.57867639496237,0.7320301137488893,0.008888561694943457,1.0,0.0,100.0,0.0,0.10071533333333332,0.0036061339153779437,0.11823566666666667,0.004219289213165413
E1,stigmergy_search,350,100,3774.11,173.28608743785986,4424.29,163.09428380452675,0.754994812231577,0.007743257897723586,1.0,0.0,100.0,0.0,0.10783171428571427,0.004951031069653139,0.12640828571428572,0.004659836680129335
E1,stigmergy_search,400,100,4446.71,180.11263313426963,5210.69,223.52279873138107,0.7553831335524807,0.008561193893757178,1.0,0.0,100.0,0.0,0.11116775000000001,0.00450281582835674,0.13026725,0.005588069968284527
E1,stigmergy_search,450,100,4995.46,183.0205058784795,5730.12,219.13951241762848,0.7541362078022168,0.00769654198829235,1.0,0.0,100.0,0.0,0.11101022222222223,0.0040671223528551004,0.12733600000000003,0.004869766942613967
E1,stigmergy_search,500,100,5480.99,213.20452643819678,6274.05,226.41447821313295,0.7566273702622481,0.007123946937461037,1.0,0.0,100.0,0.0,0.10961979999999999,0.004264090528763935,0.12548099999999998,0.004528289564262659
E2,centralized,50,40,344.275,19.897891087196868,385.3,19.420668831071545,0.5764778904733489,0.025390900995678024,1.0,0.0,100.0,0.0,0.068855,0.003979578217439374,0.07706,0.003884133766214309
E2,centralized,100,40,718.4,46.60599164298128,807.125,47.819024948772025,0.6083078736995938,0.02587579193106637,1.0,0.0,100.0,0.0,0.07183999999999999,0.004660599164298128,0.0807125,0.004781902494877203
E2,centralized,150,40,1128.975,85.3480328824129,1370.725,89.68760826835239,0.6910719101819074,0.018034008797849974,1.0,0.0,100.0,0.0,0.075265,0.005689868858827527,0.09138166666666667,0.005979173884556826
E2,centralized,200,40,1514.375,83.68763003513382,1751.2,95.69994155023267,0.6624501722781823,0.017371613036385274,1.0,0.0,100.0,0.0,0.07571874999999999,0.004184381501756691,0.08756,0.0047849970775116326
E2,centralized,250,40,1833.675,94.97935833386545,2196.15,104.51330462771297,0.6648881652780005,0.015146221617802949,1.0,0.0,100.0,0.0,0.07334700000000001,0.0037991743333546184,0.08784600000000001,0.004180532185108519
E2,centralized,300,40,2167.3,96.13641826765408,2387.525,102.50097989763003,0.6279988056780013,0.014829518758489414,1.0,0.0,100.0,0.0,0.07224333333333334,0.003204547275588469,0.07958416666666665,0.0034166993299210016
E2,centralized,350,40,2603.375,131.5063919022716,2967.375,154.52578039121116,0.6493442759154288,0.017314683593111377,1.0,0.0,100.0,0.0,0.07438214285714287,0.003757325482922046,0.08478214285714285,0.0044150222968917475
E2,centralized,400,40,3132.3,158.88255662079138,3477.675,164.62477859658418,0.6474662202724577,0.013460584355193898,1.0,0.0,100.0,0.0,0.0783075,0.003972063915519784,0.086941875,0.004115619464914604
E2,centralized,450,40,3559.275,210.84591498198333,4001.075,225.62253028244163,0.6684154808693101,0.01524223339362381,1.0,0.0,100.0,0.0,0.079095,0.004685464777377407,0.08891277777777777,0.005013834006276479
