method,run,duration_seconds,final_coverage_percent,mean_coverage_auc_percent,coverage_at_200_seconds,time_to_50_percent,time_to_60_percent,time_to_70_percent
Centralized,E2_run_1,169.19,83.50694444444444,58.07804383303453,nan,58.098,75.612,93.165
Random walk,E2_run_1,305.626,78.09,52.76957886436363,69.2291489361702,117.288,168.281,203.469
Random walk,E2_run_2,304.923,68.44,47.760403380525574,58.65,122.346,254.692,nan
Random walk,E2_run_3,259.575,81.81,50.85090933256284,69.79,92.109,160.829,202.805
Stigmergy,E2_run_1,302.018,87.5,59.42747442205432,76.46,94.849,118.605,166.746
Stigmergy,E2_run_2,304.078,80.59,55.41952268825762,72.05,110.051,132.65,168.011
Stigmergy,E2_run_3,301.583,80.21,57.94559093184962,75.16175298804781,96.322,122.506,180.239
