grid_size,n_search_robots,target_x,target_y,requested_distance_shell,spawn_position_id,search_starts,search_start_distances,actual_min_start_distance,actual_mean_start_distance,algorithm_seed,max_horizon,found,found_robot_id,steps_to_target,optimal_manhattan_steps,excess_steps_over_optimal,slowdown_ratio,path_efficiency,time_to_attractive_detection,time_from_detection_to_target,post_detection_path_efficiency,convergence_rate,stagnation_count,mode_switch_step,success_rate,steps_per_start_distance,detection_fraction_of_total_time
50,1,25,25,40,3,"0,10",40,40,40,543408,12500,1,1,609,40,569,15.225,0.06568144499178982,578,31,1.064516129032258,1.032258064516129,285,578,1.0,15.225,0.9490968801313628
50,1,25,25,40,3,"0,10",40,40,40,543409,12500,1,1,513,40,473,12.825,0.07797270955165692,475,38,0.7368421052631579,0.7105263157894737,237,475,1.0,12.825,0.9259259259259259
50,1,25,25,40,3,"0,10",40,40,40,543410,12500,1,1,513,40,473,12.825,0.07797270955165692,470,43,0.5348837209302325,0.5116279069767442,237,470,1.0,12.825,0.9161793372319688
50,1,25,25,50,4,"0,0",50,50,50,543501,12500,1,1,599,50,549,11.98,0.08347245409015025,568,31,1.064516129032258,1.032258064516129,275,568,1.0,11.98,0.9482470784641068
50,1,25,25,50,4,"0,0",50,50,50,543502,12500,1,1,565,50,515,11.3,0.08849557522123894,537,28,1.071428571428571,1.035714285714286,258,537,1.0,11.3,0.9504424778761061
50,1,25,25,50,4,"0,0",50,50,50,543503,12500,1,1,599,50,549,11.98,0.08347245409015025,570,29,1.068965517241379,1.03448275862069,275,570,1.0,11.98,0.9515859766277128
50,1,25,25,50,4,"0,0",50,50,50,543504,12500,1,1,599,50,549,11.98,0.08347245409015025,570,29,1.068965517241379,1.03448275862069,275,570,1.0,11.98,0.9515859766277128
50,1,25,25,50,4,"0,0",50,50,50,543505,12500,1,1,599,50,549,11.98,0.08347245409015025,568,31,1.064516129032258,1.032258064516129,275,568,1.0,11.98,0.9482470784641068
50,1,25,25,50,4,"0,0",50,50,50,543506,12500,1,1,599,50,549,11.98,0.08347245409015025,568,31,1.064516129032258,1.032258064516129,275,568,1.0,11.98,0.9482470784641068
50,1,25,25,50,4,"0,0",50,50,50,543507,12500,1,1,565,50,515,11.3,0.08849557522123894,537,28,1.071428571428571,1.035714285714286,258,537,1.0,11.3,0.9504424778761061
50,1,25,25,50,4,"0,0",50,50,50,543508,12500,1,1,599,50,549,11.98,0.08347245409015025,570,29,1.068965517241379,1.03448275862069,275,570,1.0,11.98,0.9515859766277128
50,1,25,25,50,4,"0,0",50,50,50,543509,12500,1,1,545,50,495,10.9,0.09174311926605505,512,33,1.0,0.9696969696969697,248,512,1.0,10.9,0.9394495412844037
50,1,25,25,50,4,"0,0",50,50,50,543510,12500,1,1,599,50,549,11.98,0.08347245409015025,570,29,1.068965517241379,1.03448275862069,275,570,1.0,11.98,0.9515859766277128
50,2,25,25,20,1,"6,24;5,25",20;20,20,20,544201,12500,1,1,19,20,-1,0.95,1.052631578947368,16,3,1.666666666666667,1.333333333333333,0,16,1.0,0.95,0.8421052631578947
50,2,25,25,20,1,"6,24;5,25",20;20,20,20,544202,12500,1,1,19,20,-1,0.95,1.052631578947368,16,3,1.666666666666667,1.333333333333333,0,16,1.0,0.95,0.8421052631578947
50,2,25,25,20,1,"6,24;5,25",20;20,20,20,544203,12500,1,1,123,20,103,6.15,0.1626016260162602,111,12,1.166666666666667,1.083333333333333,52,111,1.0,6.15,0.9024390243902439
50,2,25,25,20,1,"6,24;5,25",20;20,20,20,544204,12500,1,1,19,20,-1,0.95,1.052631578947368,16,3,1.666666666666667,1.333333333333333,0,16,1.0,0.95,0.8421052631578947
50,2,25,25,20,1,"6,24;5,25",20;20,20,20,544205,12500,1,2,75,20,55,3.75,0.2666666666666667,69,6,1.333333333333333,1.166666666666667,28,69,1.0,3.75,0.92
50,2,25,25,20,1,"6,24;5,25",20;20,20,20,544206,12500,1,2,175,20,155,8.75,0.1142857142857143,166,9,1.222222222222222,1.111111111111111,78,166,1.0,8.75,0.9485714285714286
50,2,25,25,20,1,"6,24;5,25",20;20,20,20,544207,12500,1,1,19,20,-1,0.95,1.052631578947368,16,3,1.666666666666667,1.333333333333333,0,16,1.0,0.95,0.8421052631578947
50,2,25,25,20,1,"6,24;5,25",20;20,20,20,544208,12500,1,1,19,20,-1,0.95,1.052631578947368,16,3,1.666666666666667,1.333333333333333,0,16,1.0,0.95,0.8421052631578947
50,2,25,25,20,1,"6,24;5,25",20;20,20,20,544209,12500,1,1,123,20,103,6.15,0.1626016260162602,111,12,1.166666666666667,1.083333333333333,52,111,1.0,6.15,0.9024390243902439
50,2,25,25,20,1,"6,24;5,25",20;20,20,20,544210,12500,1,1,19,20,-1,0.95,1.052631578947368,16,3,1.666666666666667,1.333333333333333,0,16,1.0,0.95,0.8421052631578947
50,2,25,25,30,2,"0,20;0,30",30;30,30,30,544301,12500,1,2,121,30,91,4.033333333333333,0.2479338842975207,110,11,1.181818181818182,1.090909090909091,46,110,1.0,4.033333333333333,0.9090909090909091
50,2,25,25,30,2,"0,20;0,30",30;30,30,30,544302,12500,1,1,165,30,135,5.5,0.1818181818181818,155,10,1.2,1.1,68,155,1.0,5.5,0.9393939393939394
50,2,25,25,30,2,"0,20;0,30",30;30,30,30,544303,12500,1,2,115,30,85,3.833333333333333,0.2608695652173913,107,8,1.25,1.125,43,107,1.0,3.8333333333333335,0.9304347826086956
50,2,25,25,30,2,"0,20;0,30",30;30,30,30,544304,12500,1,1,495,30,465,16.5,0.06060606060606061,471,24,1.0,0.9583333333333334,233,471,1.0,16.5,0.9515151515151515
50,2,25,25,30,2,"0,20;0,30",30;30,30,30,544305,12500,1,1,424,30,394,14.13333333333333,0.07075471698113207,393,31,0.967741935483871,0.9354838709677419,198,393,1.0,14.133333333333333,0.9268867924528302
50,2,25,25,30,2,"0,20;0,30",30;30,30,30,544306,12500,1,2,49,30,19,1.633333333333333,0.6122448979591837,27,22,0.1818181818181818,0.1363636363636364,10,27,1.0,1.6333333333333333,0.5510204081632653
50,2,25,25,30,2,"0,20;0,30",30;30,30,30,544307,12500,1,2,121,30,91,4.033333333333333,0.2479338842975207,110,11,1.181818181818182,1.090909090909091,46,110,1.0,4.033333333333333,0.9090909090909091
50,2,25,25,30,2,"0,20;0,30",30;30,30,30,544308,12500,1,1,29,30,-1,0.9666666666666667,1.03448275862069,26,3,1.666666666666667,1.333333333333333,0,26,1.0,0.9666666666666667,0.896551724137931
50,2,25,25,30,2,"0,20;0,30",30;30,30,30,544309,12500,1,2,44,30,14,1.466666666666667,0.6818181818181818,27,17,0.2352941176470588,0.1764705882352941,8,27,1.0,1.4666666666666666,0.6136363636363636
50,2,25,25,30,2,"0,20;0,30",30;30,30,30,544310,12500,1,2,115,30,85,3.833333333333333,0.2608695652173913,107,8,1.25,1.125,43,107,1.0,3.8333333333333335,0.9304347826086956
50,2,25,25,40,3,"0,10;0,40",40;40,40,40,544401,12500,1,1,169,40,129,4.225,0.2366863905325444,155,14,1.142857142857143,1.071428571428571,65,155,1.0,4.225,0.9171597633136095
50,2,25,25,40,3,"0,10;0,40",40;40,40,40,544402,12500,1,1,173,40,133,4.325,0.2312138728323699,159,14,1.142857142857143,1.071428571428571,67,159,1.0,4.325,0.9190751445086706
50,2,25,25,40,3,"0,10;0,40",40;40,40,40,544403,12500,1,2,105,40,65,2.625,0.3809523809523809,99,6,1.333333333333333,1.166666666666667,33,99,1.0,2.625,0.9428571428571428
50,2,25,25,40,3,"0,10;0,40",40;40,40,40,544404,12500,1,2,281,40,241,7.025,0.1423487544483986,259,22,1.090909090909091,1.045454545454545,121,259,1.0,7.025,0.9217081850533808
50,2,25,25,40,3,"0,10;0,40",40;40,40,40,544405,12500,1,2,43,40,3,1.075,0.9302325581395349,35,8,1.0,0.875,2,35,1.0,1.075,0.813953488372093
50,2,25,25,40,3,"0,10;0,40",40;40,40,40,544406,12500,1,1,171,40,131,4.275,0.2339181286549707,157,14,1.142857142857143,1.071428571428571,66,157,1.0,4.275,0.9181286549707602
50,2,25,25,40,3,"0,10;0,40",40;40,40,40,544407,12500,1,2,105,40,65,2.625,0.3809523809523809,99,6,1.333333333333333,1.166666666666667,33,99,1.0,2.625,0.9428571428571428
50,2,25,25,40,3,"0,10;0,40",40;40,40,40,544408,12500,1,2,268,40,228,6.7,0.1492537313432836,234,34,0.4411764705882353,0.4117647058823529,115,234,1.0,6.7,0.8731343283582089
50,2,25,25,40,3,"0,10;0,40",40;40,40,40,544409,12500,1,2,279,40,239,6.975,0.1433691756272401,257,22,1.090909090909091,1.045454545454545,120,257,1.0,6.975,0.921146953405018
50,2,25,25,40,3,"0,10;0,40",40;40,40,40,544410,12500,1,1,103,40,63,2.575,0.3883495145631068,91,12,1.166666666666667,1.083333333333333,32,91,1.0,2.575,0.883495145631068
50,2,25,25,50,4,"0,1;0,49",49;49,49,49,544501,12500,1,1,48,49,-1,0.9795918367346939,1.020833333333333,43,5,1.4,1.2,0,43,1.0,0.9795918367346939,0.8958333333333334
50,2,25,25,50,4,"0,1;0,49",49;49,49,49,544502,12500,1,2,394,49,345,8.040816326530612,0.1243654822335025,380,14,1.142857142857143,1.071428571428571,173,380,1.0,8.040816326530612,0.9644670050761421
50,2,25,25,50,4,"0,1;0,49",49;49,49,49,544503,12500,1,2,194,49,145,3.959183673469388,0.2525773195876289,186,8,1.25,1.125,73,186,1.0,3.9591836734693877,0.9587628865979382
50,2,25,25,50,4,"0,1;0,49",49;49,49,49,544504,12500,1,1,198,49,149,4.040816326530612,0.2474747474747475,186,12,1.166666666666667,1.083333333333333,75,186,1.0,4.040816326530612,0.9393939393939394
