grid_size,n_search_robots,requested_distance_shell,runs,found_mean,found_ci95,steps_to_target_mean,steps_to_target_ci95,time_to_attractive_detection_mean,time_to_attractive_detection_ci95,time_from_detection_to_target_mean,time_from_detection_to_target_ci95,path_efficiency_mean,path_efficiency_ci95,post_detection_path_efficiency_mean,post_detection_path_efficiency_ci95,convergence_rate_mean,convergence_rate_ci95,stagnation_count_mean,stagnation_count_ci95,post_detection_stagnation_count_mean,post_detection_stagnation_count_ci95,final_distance_mean,final_distance_ci95
50,1,20,10,1.0,0.0,319.4,140.12901930562262,299.3,132.21118137955568,20.1,8.43002559637606,0.3496501487905491,0.30081279257420357,1.2021378621378622,0.230584234737223,1.0728638028638031,0.15797438405837402,150.2,70.06450965281131,1.1,2.1559999999999997,1.0,0.0
50,1,30,10,1.0,0.0,477.4,70.33411745534468,448.9,66.78936267933024,28.5,3.8789517484323857,0.06767712730709345,0.014184376367187801,1.0567628749292588,0.02794546224378914,1.0192905283737201,0.02231169435704655,224.2,35.16705872767234,0.3,0.29939494540378153,1.0,0.0
50,1,40,10,1.0,0.0,501.6,42.07811580065501,472.4,40.59319360571561,29.2,4.201700396532602,0.08107510885727916,0.006821086575685219,0.9816241955225647,0.11783143855616555,0.9458698001568063,0.11410799873167239,231.3,21.039057900327506,1.8,2.315419232498128,1.0,0.0
50,1,50,10,1.0,0.0,586.8,12.634189663149927,557.0,12.842612402986134,29.8,1.0036697110548314,0.0853041448339584,0.0019083203976720106,1.0612267598919431,0.013435309321347256,1.0275830769156684,0.01263321574247408,268.9,6.3170948315749635,0.1,0.19599999999999998,1.0,0.0
50,2,20,20,0.5,0.22482741919315047,61.0,36.64728311894348,64.58333333333333,31.03016810014462,5.7,2.3924849006838054,0.7021945106669111,0.2813492634211723,1.488888888888889,0.14500359013577344,1.2444444444444447,0.0725017950678867,28.1,12.09721948043825,0.1,0.1348964515158903,15.6,7.705252562546641
50,2,30,20,0.5,0.22482741919315047,167.8,99.3770469899586,161.21428571428572,85.15185006346466,14.5,5.413212642332749,0.3659331696833253,0.19288155389927386,1.011515726525214,0.2869815422086981,0.9071802944051519,0.2541040000756366,75.45,34.32444707723483,1.05,1.2188466506885667,13.2,7.959779737761856
50,2,40,20,0.5,0.22482741919315047,169.7,51.80900378205403,136.84615384615384,41.04067516198386,15.2,5.39385922446381,0.32172768880462105,0.14588552848089853,1.0884899414311175,0.1548458516465656,1.0008626177743827,0.1376002321888793,71.1,19.262291692920595,0.95,1.2434805989640532,12.6,6.92731186566698
50,2,50,20,0.5,0.22482741919315047,180.2,74.51999160255215,157.41176470588235,55.72128743448415,9.3,2.264155864285358,0.4785265250445304,0.24067645674236357,1.253241758241758,0.06859343758724346,1.1266208791208792,0.034296718793621735,68.95,26.669299120504597,0.0,0.0,7.0,5.497938369588137
50,3,20,30,0.3333333333333333,0.17157373893670413,68.0,34.04988810554302,64.47058823529412,23.766778462330745,5.9,2.571346037476178,0.5575985650133795,0.26638460783948026,1.4791666666666665,0.1665902139464262,1.2395833333333335,0.08329510697321309,32.766666666666666,9.895811942820195,0.1,0.14406065133952367,18.0,6.617054385119724
50,3,30,30,0.3333333333333333,0.17157373893670413,127.7,62.15123291527601,105.0625,45.53063151604643,11.3,3.6732210509155157,0.45102366995338417,0.22235154612554514,1.1863071895424837,0.24688166910864676,1.0490359477124183,0.20155317839487408,57.333333333333336,17.993987586747707,0.3333333333333333,0.5343633731454533,17.366666666666667,6.269946263373704
