grid_size,n_search_robots,requested_distance_shell,runs,success_rate_mean,success_rate_ci95,steps_to_target_mean,steps_to_target_ci95,slowdown_ratio_mean,slowdown_ratio_ci95,path_efficiency_mean,path_efficiency_ci95,time_to_attractive_detection_mean,time_to_attractive_detection_ci95,time_from_detection_to_target_mean,time_from_detection_to_target_ci95,convergence_rate_mean,convergence_rate_ci95,stagnation_count_mean,stagnation_count_ci95,detection_fraction_of_total_time_mean,detection_fraction_of_total_time_ci95
50,1,20,10,1.0,0.0,319.4,140.12901930562262,15.969999999999999,7.00645096528113,0.3496501487905491,0.30081279257420346,299.3,132.21118137955568,20.1,8.43002559637606,1.072863802863803,0.15797438405837394,150.2,70.06450965281131,0.9099904203707438,0.029737105101228078
50,1,30,10,1.0,0.0,477.4,70.33411745534468,15.913333333333332,2.344470581844823,0.06767712730709351,0.014184376367187798,448.9,66.78936267933024,28.5,3.8789517484323857,1.0192905283737201,0.022311694357046472,224.2,35.16705872767234,0.9398167533309643,0.0034712195057176754
50,1,40,10,1.0,0.0,501.6,42.07811580065501,12.540000000000001,1.0519528950163755,0.08107510885727916,0.006821086575685213,472.4,40.59319360571561,29.2,4.201700396532602,0.9458698001568063,0.11410799873167239,231.3,21.039057900327506,0.9415542992235011,0.007542792690173402
50,1,50,10,1.0,0.0,586.8,12.634189663149927,11.736,0.25268379326299845,0.08530414483395847,0.0019083203976720088,557.0,12.842612402986134,29.8,1.0036697110548314,1.0275830769156689,0.012633215742474111,268.9,6.3170948315749635,0.9491419638939789,0.002297105339406182
50,2,20,10,1.0,0.0,61.0,36.64728311894348,3.05,1.8323641559471737,0.702194510666911,0.28134926342117206,55.3,34.518080054757775,5.7,2.3924849006838054,1.244444444444444,0.07250179506788669,21.0,18.32364155947174,0.8726081056299286,0.025620936195787553
50,2,30,10,1.0,0.0,167.8,99.3770469899586,5.593333333333333,3.3125682329986206,0.36593316968332534,0.1928815538992739,153.3,95.69451191508666,14.5,5.413212642332749,0.9071802944051524,0.25410400007563655,69.5,49.71712130756477,0.8558055762698691,0.09034391550468295
50,2,40,10,1.0,0.0,169.7,51.80900378205403,4.242500000000001,1.2952250945513508,0.32172768880462105,0.14588552848089853,154.5,47.224070416120064,15.2,5.39385922446381,1.000862617774382,0.13760023218887926,65.4,25.945149116292754,0.9053515949327094,0.024173912569107624
50,2,50,10,1.0,0.0,180.2,74.51999160255215,3.6775510204081634,1.5208161551541255,0.47852652504453036,0.24067645674236354,170.9,72.47257368135894,9.3,2.264155864285358,1.126620879120879,0.03429671879362179,66.1,37.25999580127608,0.9328122013099452,0.01751471010836973
50,3,20,10,1.0,0.0,68.0,34.04988810554302,3.400000000000001,1.702494405277151,0.5575985650133793,0.2663846078394801,62.1,31.740773049467112,5.9,2.571346037476178,1.2395833333333333,0.08329510697321302,24.5,17.02494405277151,0.8934456308382096,0.025031138005692292
50,3,30,10,1.0,0.0,127.7,62.15123291527601,4.256666666666667,2.071707763842533,0.45102366995338433,0.22235154612554528,116.4,59.50299464359382,11.3,3.6732210509155157,1.0490359477124183,0.20155317839487405,49.4,31.047015931039525,0.878893425919383,0.060101913158836534
50,3,40,10,1.0,0.0,115.8,81.81277809459569,2.8950000000000005,2.0453194523648923,0.6809594313724986,0.22797775080884175,107.9,76.53679398679942,7.9,5.2952253545581565,1.228333333333333,0.07137000096004634,38.4,40.90638904729784,0.9274605856337981,0.0052747560699860745
50,3,50,10,1.0,0.0,62.4,14.370957379381512,1.273469387755102,0.2932848444771738,0.8677083333333331,0.15281617004984674,56.8,13.772167488573949,5.6,0.5987898908075631,1.1828571428571428,0.017108282594501742,7.2,7.185478689690756,0.9052083333333334,0.009356092043868171
100,1,20,10,1.0,0.0,392.4,253.07812662496139,19.619999999999997,12.653906331248068,0.5400689640269769,0.3348912475813753,375.0,242.96921191331583,17.4,10.227118981740002,1.1844934640522873,0.09750840243137641,186.7,126.53906331248069,0.9007305034311084,0.03837265280277993
100,1,30,10,1.0,0.0,662.4,388.92952539331156,22.08,12.96431751311039,0.3397426481469429,0.29734330617883487,638.5,377.3550909274829,23.9,12.094433540545278,1.1273927815104288,0.08872893054789854,316.7,194.46476269665578,0.9436252458490927,0.020311480168665567
100,1,40,10,1.0,0.0,892.6,579.4442909685107,22.314999999999998,14.486107274212765,0.3109173830062991,0.21608861895711812,857.9,566.9979935986447,34.7,13.086415076542373,0.7021587301587304,0.26612105289710125,426.9,289.6602460017214,0.8377236507795853,0.10692430735568743
100,1,50,10,1.0,0.0,1205.6,606.7640152869244,24.112000000000002,12.13528030573849,0.24937424487343335,0.2531019837072541,1168.8,589.6421324551206,36.8,17.136274507605204,1.0684994239631338,0.045479386523000626,578.3,303.3820076434622,0.9549673398401441,0.018660011381256916
100,2,20,10,1.0,0.0,178.6,167.7067853076381,8.930000000000001,8.385339265381905,0.7487320895972069,0.3033200656397579,171.7,163.70219389556826,6.9,4.021583767621904,1.2527777777777775,0.08052953176921136,79.8,83.85339265381906,0.8804918960176181,0.03832910083966647
100,2,30,10,1.0,0.0,381.0,279.42815383485527,12.7,9.314271794495175,0.45653610213691875,0.30887510701800447,367.7,271.12184859210447,13.3,8.647971733944965,1.1724837662337662,0.08676391618389617,176.0,139.71407691742763,0.9375208373056564,0.022216039295661492
100,2,40,10,1.0,0.0,246.2,184.20357654146312,6.155,4.605089413536578,0.47677366498351725,0.20644432964372147,228.0,184.0135109049212,18.2,2.7687770264544995,0.5571028138528139,0.2706850051848556,103.8,92.01188170617483,0.7805597150609422,0.1009172815072016
100,2,50,10,1.0,0.0,107.8,58.68140929914118,2.156,1.1736281859828235,0.7755102040816325,0.2444040370643114,101.1,56.98508762435621,6.7,1.704937144491452,1.1681818181818182,0.03179101870848766,29.4,29.34070464957059,0.9155102040816325,0.017529150324847777
100,3,20,10,1.0,0.0,144.2,147.59110901255383,7.210000000000001,7.379555450627691,0.6698384350874564,0.30703518889173936,135.7,140.76446850284657,8.5,6.835065796643398,1.252631578947368,0.09460654602077592,62.6,73.79555450627691,0.8893697629853612,0.03238529685150039
100,3,30,10,1.0,0.0,151.0,148.82239258032823,5.033333333333333,4.960746419344274,0.6777837967248524,0.28693711572313174,139.6,136.1334724387144,11.4,12.899652639595464,1.181785714285714,0.17248019710987605,61.0,74.41119629016411,0.9147626308463463,0.016241416030581136
100,3,40,10,1.0,0.0,371.8,319.2126494179772,9.294999999999998,7.980316235449431,0.4601211868330635,0.24296056865899773,349.3,310.52336764028996,22.5,10.223153242626376,0.8237326007326006,0.2883454395859788,166.4,159.6063247089886,0.831070741332501,0.10424863705874508
100,3,50,10,1.0,0.0,58.8,19.208,1.1760000000000002,0.38415999999999995,0.9523809523809522,0.13333333333333328,53.4,18.423999999999996,5.4,0.7839999999999999,1.1911111111111108,0.01742222222222225,4.9,9.604000000000001,0.9020408163265307,0.008000000000000009
