grid_size,n_search_robots,requested_distance_shell,spawn_position_id,algorithm_seed,target_x,target_y,search_robot_id,search_start_x,search_start_y,initial_distance,time_to_attractive_detection,distance_at_detection,mode_switch_step,found,steps_to_target,time_from_detection_to_target,path_efficiency,post_detection_path_efficiency,convergence_rate,stagnation_count,post_detection_stagnation_count,final_distance
50,1,50,4,543505,25,25,1,0,0,50,568.0,33.0,568.0,1,599.0,31.0,0.08347245409015025,1.064516129032258,1.032258064516129,275,0,1
50,1,50,4,543506,25,25,1,0,0,50,568.0,33.0,568.0,1,599.0,31.0,0.08347245409015025,1.064516129032258,1.032258064516129,275,0,1
50,1,50,4,543507,25,25,1,0,0,50,537.0,30.0,537.0,1,565.0,28.0,0.08849557522123894,1.0714285714285714,1.0357142857142858,258,0,1
50,1,50,4,543508,25,25,1,0,0,50,570.0,31.0,570.0,1,599.0,29.0,0.08347245409015025,1.0689655172413792,1.0344827586206897,275,0,1
50,1,50,4,543509,25,25,1,0,0,50,512.0,33.0,512.0,1,545.0,33.0,0.09174311926605505,1.0,0.9696969696969697,248,1,1
50,1,50,4,543510,25,25,1,0,0,50,570.0,31.0,570.0,1,599.0,29.0,0.08347245409015025,1.0689655172413792,1.0344827586206897,275,0,1
50,2,20,1,544201,25,25,1,6,24,20,16.0,5.0,16.0,1,19.0,3.0,1.0526315789473684,1.6666666666666667,1.3333333333333333,0,0,1
50,2,20,1,544201,25,25,2,5,25,20,,,,0,,,,,,18,0,38
50,2,20,1,544202,25,25,1,6,24,20,16.0,5.0,16.0,1,19.0,3.0,1.0526315789473684,1.6666666666666667,1.3333333333333333,0,0,1
50,2,20,1,544202,25,25,2,5,25,20,,,,0,,,,,,18,0,38
50,2,20,1,544203,25,25,1,6,24,20,111.0,14.0,111.0,1,123.0,12.0,0.16260162601626016,1.1666666666666667,1.0833333333333333,52,0,1
50,2,20,1,544203,25,25,2,5,25,20,111.0,16.0,111.0,0,,,,,,54,1,6
50,2,20,1,544204,25,25,1,6,24,20,16.0,5.0,16.0,1,19.0,3.0,1.0526315789473684,1.6666666666666667,1.3333333333333333,0,0,1
50,2,20,1,544204,25,25,2,5,25,20,,,,0,,,,,,18,0,38
50,2,20,1,544205,25,25,1,6,24,20,,,,0,,,,,,46,0,37
50,2,20,1,544205,25,25,2,5,25,20,69.0,8.0,69.0,1,75.0,6.0,0.26666666666666666,1.3333333333333333,1.1666666666666667,28,0,1
50,2,20,1,544206,25,25,1,6,24,20,,,,0,,,,,,90,0,25
50,2,20,1,544206,25,25,2,5,25,20,166.0,11.0,166.0,1,175.0,9.0,0.11428571428571428,1.2222222222222223,1.1111111111111112,78,0,1
